Name, EA,formula
(anthracene)7 radical anion,1.240000,C98H70-
2-Cyanoethyl radical,1.240000,C3H4N
uranium tetrafluoride,1.244000,F4U
Phthalic anhydride,1.245000,C8H4O3
oOMe-phenide anion,1.248000,C7H7O-
Fumaronitrile,1.249000,C4H2N2
(NaF)4 radical,1.250000,F4Na4
Na(NaF)7,1.250000,F7Na8
Nb11 radical anion,1.250000,Nb11-
(m-terphenyl)21 radical anion,1.250000,C378H294-
Al6Cs anion,1.250000,Al6Cs-
Al10Cs2 anion,1.250000,Al10Cs2-
Al13Cs3 anion,1.250000,Al13Cs3-
Al14Cs3 anion,1.250000,Al14Cs3-
(NH3)3..Pb2 anion,1.250000,H9N3Pb2-
"sexi(2,2')thiophene radical anion",1.250000,C24H14S6-
BiC4H3O anion,1.250000,C4H3BiO-
(MeNO2)2..MeNO2 radical anion,1.252000,C3H9N3O6-
Pt(CO)3 anion,1.253000,C3O3Pt-
MeOCH2CHCN anion,1.253000,C4H6NO-
"1,4-diazinide anion",1.254000,C4H3N2-
(H2O)22 radical anion,1.255000,H44O22-
oCl-C6H4CH2 anion,1.257000,C7H6Cl-
naphthalen-6-yl-2-ide anion,1.258000,C10H6-
"Benzene, 1-chloro-4-nitro-",1.258000,C6H4ClNO2
4-Cyanobenzophenone,1.258000,C14H9NO
NH3..Na3 radical anion,1.260000,H3NNa3-
Co17O2 radical anion,1.260000,Co17O2-
Co19O2 radical anion,1.260000,Co19O2-
(H2O)5..uracil radical anion,1.260000,C4H14N2O7-
(m-terphenyl)22 radical anion,1.260000,C396H308-
(m-terphenyl)23 radical anion,1.260000,C414H322-
(o-terphenyl)17 radical anion,1.260000,C306H238-
Methylidyne,1.260000,CH
carbon,1.262000,C
Phosphino radical,1.263000,H2P
Benzyne,1.265000,C6H4
Nb13 radical anion,1.270000,Nb13-
PbAg radical anion,1.270000,AgPb-
(anthracene)8 radical anion,1.270000,C112H80-
V11O2 radical anion,1.270000,O2V11-
AsH2 anion,1.270000,AsH2-
heptatrienide anion,1.270000,C7H9-
V7O radical,1.270000,OV7
Indium dimer,1.270000,In2
Me2C=C(Me)O anion,1.271000,C5H9O-
9-Anthracenecarbonitrile,1.271000,C15H9N
Bismuth dimer,1.271000,Bi2
mCl-C6H4CH2 anion,1.272000,C7H6Cl-
Silylidyne,1.277000,HSi
(C6F6)2..C6F6 radical anion,1.280000,C18F18-
benzene..{fluorobenzene}..V anion,1.280000,C12H11FV-
Cr4 anion,1.280000,Cr4-
(coronene)2..Ti anion,1.280000,C48H24Ti-
"Benzene, 1-chloro-3-nitro-",1.280000,C6H4ClNO2
(2-Me-anthracene)10 radical anion,1.280000,C150H120-
(2-Me-anthracene)12 radical anion,1.280000,C180H144-
(2-Me-anthracene)14 radical anion,1.280000,C210H168-
NH3..Bi anion,1.280000,BiH3N-
Diantimony,1.282000,Sb2
3-Nitrobenzophenone,1.284000,C13H9NO3
(H2O)23 radical anion,1.285000,H46O23-
AsO anion,1.286000,AsO-
norbornadienide anion,1.286000,C7H7-
cyclooctatetraene..Fe(CO)3 anion,1.288000,C11H8FeO3-
Y2O2 radical anion,1.290000,O2Y2-
Y3O3 radical anion,1.290000,O3Y3-
molybdenum oxide,1.290000,MoO
(m-terphenyl)24 radical anion,1.290000,C432H336-
(2-Me-anthracene)11 radical anion,1.290000,C165H132-
AgOMe anion,1.290000,CH3AgO-
ZrO anion,1.290000,OZr-
"Benzene, 1,2-dichloro-3-nitro-",1.292000,C6H3Cl2NO2
"Benzene, 1-bromo-4-nitro-",1.292000,C6H4BrNO2
pentaMe-cyclopentadienide anion,1.293000,C10H15-
2-Me-maleic anhydride radical anion,1.297000,C5H4O3-
(KI)2 radical anion,1.300000,I2K2-
K(KI)7 radical anion,1.300000,I7K8-
K2(KI)11 radical anion,1.300000,I11K13-
In3P3 radical anion,1.300000,In3P3-
Disodium difluoride,1.300000,F2Na2
Germanium difluoride,1.300000,F2Ge
AsF radical,1.300000,AsF
AsCl radical,1.300000,AsCl
AsBr radical,1.300000,AsBr
antimony pentafluoride,1.300000,F5Sb
p-difluorobenzene..O2 radical anion,1.300000,C6H4F2O2-
(o-terphenyl)18 radical anion,1.300000,C324H252-
(benzene)2Fe3 anion,1.300000,C12H12Fe3-
(benzene)2Fe4 anion,1.300000,C12H12Fe4-
(benzene)3Fe5 anion,1.300000,C18H18Fe5-
(benzene)4Fe5 anion,1.300000,C24H24Fe5-
(2-Me-anthracene)13 radical anion,1.300000,C195H156-
Al8Cs anion,1.300000,Al8Cs-
CoNb4 anion,1.300000,CoNb4-
(NH3)2..Bi anion,1.300000,BiH6N2-
Pb2S2 anion,1.300000,Pb2S2-
VC6 radical,1.300000,C6V
Si4Na radical anion,1.300000,NaSi4-
LaC3 radical anion,1.300000,C3La-
Ru6C(CO)16 dianion,1.300000,C17O16Ru6-2
CF3CF2CH2OH..uracil radical anion,1.300000,C7H7F5N2O3-
Boron,1.300000,B2
NI,1.301000,IN
Dichlorine monoxide,1.301000,Cl2O
silver,1.304000,Ag
Phenazine,1.305000,C12H8N2
mBr-C6H4CH2 anion,1.307000,C7H6Br-
oBr-C6H4CH2 anion,1.308000,C7H6Br-
"2,6-diMe-4-COMe-nitrobenzene radical",1.309000,C10H11NO3
9-Anthracenecarboxaldehyde,1.310000,C15H10O
coronene..Ti anion,1.310000,C24H12Ti-
coronene..Ti4 anion,1.310000,C24H12Ti4-
(benzene)2..Co anion,1.310000,C12H12Co-
AgAu radical,1.310000,AgAu
Ti6,1.310000,Ti6
(m-terphenyl)25 radical anion,1.310000,C450H350-
(2-Me-anthracene)15 radical anion,1.310000,C225H180-
(2-Me-anthracene)16 radical anion,1.310000,C240H192-
Co2O radical anion,1.310000,Co2O-
(H2O)24 radical anion,1.314000,H48O24-
"Benzene, 1-bromo-3-nitro-",1.318000,C6H4BrNO2
(p-terphenyl)16 radical anion,1.320000,C288H224-
(m-terphenyl)26 radical anion,1.320000,C468H364-
(o-terphenyl)19 radical anion,1.320000,C342H266-
MnS2 radical anion,1.320000,MnS2-
(anthracene)11 radical anion,1.320000,C154H110-
(2-Me-anthracene)18 radical anion,1.320000,C270H216-
(2-Me-anthracene)19 radical anion,1.320000,C285H228-
(1-Me-anthracene)6 radical anion,1.320000,C90H72-
H2O..O2C(CH2)4CO2 dianion,1.320000,C6H10O5-2
C60Na29 radical anion,1.320000,C60Na29-
AlSi anion,1.320000,AlSi-
Nb4Al radical,1.320000,AlNb4
Y9O radical,1.320000,OY9
Copper tetramer,1.320000,Cu4
Carbon monoxide,1.326000,CO
"Ethanone, 1-(3-nitrophenyl)-",1.327000,C8H7NO3
SnBr2 radical anion,1.330000,Br2Sn-
Zn(SC(CN)=C(CN)S)2 dianion,1.330000,C8N4S4Zn-2
(p-terphenyl)18 radical anion,1.330000,C324H252-
(p-terphenyl)20 radical anion,1.330000,C360H280-
(m-terphenyl)27 radical anion,1.330000,C486H378-
(anthracene)10 radical anion,1.330000,C140H100-
V8 anion,1.330000,V8-
C70Na14 radical anion,1.330000,C70Na14-
C60Na8 radical anion,1.330000,C60Na8-
V8O radical,1.330000,OV8
PhSi(Me)H,1.331000,C7H9Si
"2-Nitro-α,α,α-trifluorotoluene",1.331000,C7H4F3NO2
Mo(CO)3 anion,1.337000,C3MoO3-
Si6C radical anion,1.340000,CSi6-
(H2O)25 radical anion,1.340000,H50O25-
Y8O2 radical anion,1.340000,O2Y8-
Y8O radical,1.340000,OY8
O2C(CH2)5CO2 dianion,1.340000,C7H10O4-2
(H2O)6..uracil radical anion,1.340000,C4H16N2O8-
(p-terphenyl)19 radical anion,1.340000,C342H266-
(m-terphenyl)28 radical anion,1.340000,C504H392-
(m-terphenyl)29 radical anion,1.340000,C522H406-
(anthracene)12 radical anion,1.340000,C168H120-
(2-Me-anthracene)17 radical anion,1.340000,C255H204-
(2-Me-anthracene)20 radical anion,1.340000,C300H240-
(azulene)3 radical anion,1.340000,C30H24-
α-Furil,1.344000,C10H6O4
ICN radical anion,1.345000,CIN-
Difluoroamino radical,1.349000,F2N
Cr(CO)3,1.349000,C3CrO3
(KI)7 radical anion,1.350000,I7K7-
(KI)10 radical anion,1.350000,I10K10-
K(KI)10 radical anion,1.350000,I10K11-
K2(KI)8 radical anion,1.350000,I8K10-
Lithium fluoride,1.350000,FLi
(o-terphenyl)20 radical anion,1.350000,C360H280-
(o-terphenyl)21 radical anion,1.350000,C378H294-
(anthracene)13 radical anion,1.350000,C182H130-
(anthracene)14 radical anion,1.350000,C196H140-
(anthracene)15 radical anion,1.350000,C210H150-
(anthracene)16 radical anion,1.350000,C224H160-
(anthracene)17 radical anion,1.350000,C238H170-
(anthracene)18 radical anion,1.350000,C252H180-
(anthracene)19 radical anion,1.350000,C266H190-
(anthracene)20 radical anion,1.350000,C280H200-
Ta3 anion,1.350000,Ta3-
Nb5 radical,1.350000,Nb5
Nb7 radical,1.350000,Nb7
Si5Na2 radical anion,1.350000,Na2Si5-
C70Na15 radical anion,1.350000,C70Na15-
V8O2 radical anion,1.350000,O2V8-
Pd3,1.350000,Pd3
Yttrium monoxide,1.350000,OY
ScO radical,1.350000,OSc
"Phosphorus, mol. (P4)",1.350000,P4
Pd4,1.350000,Pd4
MoC radical anion,1.358000,CMo-
(C6F6)4..C6F6 radical anion,1.360000,C30F30-
(7-aza-indole)6 radical anion,1.360000,C42H36N12-
Cr3 anion,1.360000,Cr3-
coronene..Ti5 anion,1.360000,C24H12Ti5-
(coronene)2..V2 anion,1.360000,C48H24V2-
(H2O)5..SO4 dianion,1.360000,H10O9S-2
(p-terphenyl)25 radical anion,1.360000,C450H350-
(m-terphenyl)30 radical anion,1.360000,C540H420-
(1-Me-anthracene)7 radical anion,1.360000,C105H84-
AgS4 anion,1.360000,AgS4-
Al13Rb radical anion,1.360000,Al13Rb-
N-Phenylmaleimide,1.362000,C10H7NO2
Diphenylmethyl radical,1.363000,C13H11
Dilead,1.366000,Pb2
(H2O)26 radical anion,1.366000,H52O26-
(m-terphenyl)35 radical anion,1.370000,C630H490-
(2-Me-anthracene)9 radical anion,1.370000,C135H108-
Silicon dicarbide,1.370000,C2Si
Ni(SALEN-H2) radical,1.370000,C16H12N2NiO2
manganese oxide,1.375000,MnO
mNO-C6H4CH2 anion,1.380000,C7H6NO-
Fe4S radical anion,1.380000,Fe4S-
Co3O radical anion,1.380000,Co3O-
NbC2,1.380000,C2Nb
C60Na18 radical anion,1.380000,C60Na18-
(7-aza-indole)5 radical anion,1.380000,C35H30N10-
Me2C=CHO anion,1.380000,C4H7O-
coronene..V anion,1.380000,C24H12V-
Nb7Al radical,1.380000,AlNb7
Me3Ge anion,1.383000,C3H9Ge-
mF-phenide anion,1.383000,C6H4F-
Silyl-d3 radical,1.386000,D3Si
"2,3-Pyridinedicarboxylic anhydride",1.388000,C7H3NO3
silicon,1.390000,Si
(H2O)27 radical anion,1.390000,H54O27-
C60Na7 radical anion,1.390000,C60Na7-
C60Na11 radical anion,1.390000,C60Na11-
NiC3 radical anion,1.390000,C3Ni-
pyridine..O2 radical anion,1.390000,C5H5NO2-
"(H2O)3..1,3-O2C-C6H4-CO2 dianion",1.390000,C8H10O7-2
Fe7,1.390000,Fe7
(o-terphenyl)22 radical anion,1.390000,C396H308-
Ta2B2 anion,1.390000,B2Ta2-
"2,6-diMe-4-CHO-nitrobenzene radical",1.391000,C9H9NO3
Pentacene,1.392000,C22H14
Nb3O radical,1.393000,Nb3O
Me2C=NO anion,1.396000,C3H6NO-
"Ethanone, 1-(2-nitrophenyl)-",1.396000,C8H7NO3
pOMe-anilide anion,1.398000,C7H8NO-
V2C10 radical anion,1.400000,C10V2-
V4C6 radical anion,1.400000,C6V4-
(p-terphenyl)27 radical anion,1.400000,C486H378-
(p-terphenyl)29 radical anion,1.400000,C522H406-
(m-terphenyl)40 radical anion,1.400000,C720H560-
(benzene)4Fe3 anion,1.400000,C24H24Fe3-
(benzene)4Fe4 anion,1.400000,C24H24Fe4-
(benzene)4Fe7 anion,1.400000,C24H24Fe7-
Pb-pyridinyl radical anion,1.400000,C5H4NPb-
(anthracene)9 radical anion,1.400000,C126H90-
AgS2 anion,1.400000,AgS2-
Al11Cs2 anion,1.400000,Al11Cs2-
Al12Cs2 anion,1.400000,Al12Cs2-
Si7Cs anion,1.400000,CsSi7-
SmSi3 anion,1.400000,Si3Sm-
CoNb12 anion,1.400000,CoNb12-
CoNb13 anion,1.400000,CoNb13-
N-acetyl-proline radical,1.400000,C7H11NO3
Rh6,1.400000,Rh6
"2,4(1H,3H)-Pyrimidinedithione",1.400000,C4H4N2S2
Rh5,1.400000,Rh5
adenosine phosphate,1.400000,C10H14N5O7P
VC5 radical,1.400000,C5V
(KI)8 radical anion,1.400000,I8K8-
K(KI)11 radical anion,1.400000,I11K12-
K2(KI)10 radical anion,1.400000,I10K12-
LaC2 radical anion,1.400000,C2La-
LaC4 radical anion,1.400000,C4La-
coronene..V4 anion,1.400000,C24H12V4-
VOCl radical,1.400000,ClOV
NbCl4 radical,1.400000,Cl4Nb
tantalum tetrachloride,1.400000,Cl4Ta
AlS3,1.400000,AlS3
Decafluorocyclohexene,1.400000,C6F10
Me2SiHSiMe2 anion,1.401000,C4H13Si2-
1-naphthalenide anion,1.403000,C10H7-
Silyl radical,1.406000,H3Si
Phosphorus oxychloride,1.409000,Cl3OP
V7O2 radical anion,1.410000,O2V7-
naphthalene..O2 radical anion,1.410000,C10H8O2-
V10O radical,1.410000,OV10
V9O radical,1.410000,OV9
Cu8,1.410000,Cu8
(p-terphenyl)28 radical anion,1.410000,C504H392-
(m-terphenyl)50 radical anion,1.410000,C900H700-
(o-terphenyl)23 radical anion,1.410000,C414H322-
(o-terphenyl)24 radical anion,1.410000,C432H336-
CoNb14 anion,1.410000,CoNb14-
Nb6 radical,1.410000,Nb6
(H2O)28 radical anion,1.413000,H56O28-
"Benzene, pentafluoroiodo-",1.414000,C6F5I
"Benzene, 1-nitro-3-(trifluoromethyl)-",1.414000,C7H4F3NO2
pCl-phenide anion,1.418000,C6H4Cl-
H2O..O2 radical anion,1.420000,H2O3-
VC2 radical anion,1.420000,C2V-
(p-terphenyl)30 radical anion,1.420000,C540H420-
MeCH=NO anion,1.422000,C2H4NO-
(H2O)2..NO anion,1.430000,H4NO3-
(o-terphenyl)25 radical anion,1.430000,C450H350-
Fe2S radical anion,1.430000,Fe2S-
(1-Me-anthracene)8 radical anion,1.430000,C120H96-
Nb3C9 radical anion,1.430000,C9Nb3-
(NH3)2..Na3 radical anion,1.430000,H6N2Na3-
(NH3)3..Na3 radical anion,1.430000,H9N3Na3-
V9O2 radical anion,1.430000,O2V9-
V12O2 radical anion,1.430000,O2V12-
V13O2 radical anion,1.430000,O2V13-
V14O2 radical anion,1.430000,O2V14-
"2,6-diMe-4-CN-nitrobenzene radical",1.430000,C9H8N2O2
quinolinide anion,1.431000,C9H6N-
2-naphthalenide anion,1.431000,C10H7-
"Anthracene, 9-nitro-",1.431000,C14H9NO2
NaBO2 radical,1.431000,BNaO2
"Benzaldehyde, 3-nitro-",1.431000,C7H5NO3
MeCH=C(Et)O anion,1.433000,C5H9O-
Phenyl silyl radical,1.435000,C6H7Si
Maleic anhydride,1.440000,C4H2O3
C60Na17 radical anion,1.440000,C60Na17-
Fe3O anion,1.440000,Fe3O-
W3 radical anion,1.440000,W3-
(NaCl)7 radical anion,1.440000,Cl7Na7-
Nb5Al radical,1.440000,AlNb5
Y3O2 radical,1.440000,O2Y3
Ni3,1.440000,Ni3
(H2O)7..uracil radical anion,1.440000,C4H18N2O9-
(m-terphenyl)60 radical anion,1.440000,C1080H840-
(m-terphenyl)80 radical anion,1.440000,C1440H1120-
(o-terphenyl)26 radical anion,1.440000,C468H364-
CoNb15 anion,1.440000,CoNb15-
Rh4Co anion,1.440000,CoRh4-
9-anthryl-CH2 anion,1.440000,C15H11-
cycloheptanone enolate anion,1.444000,C7H11O-
"Benzene, 1,2-dichloro-4-nitro-",1.444000,C6H3Cl2NO2
CoH2,1.450000,CoH2
(m-terphenyl)70 radical anion,1.450000,C1260H980-
(o-terphenyl)28 radical anion,1.450000,C504H392-
(o-terphenyl)29 radical anion,1.450000,C522H406-
EuSi3 anion,1.450000,EuSi3-
Fe3S radical anion,1.450000,Fe3S-
Al14Cs2 anion,1.450000,Al14Cs2-
CoNb5 anion,1.450000,CoNb5-
BiC4H4N anion,1.450000,C4H4BiN-
B2O3 anion,1.450000,B2O3-
K(KI)8 radical anion,1.450000,I8K9-
K(KI)12 radical anion,1.450000,I12K13-
V9 anion,1.450000,V9-
V13 anion,1.450000,V13-
(H2O)2..O2C(CH2)3CO2 dianion,1.450000,C5H10O6-2
C70Na8 radical anion,1.450000,C70Na8-
C70Na12 radical anion,1.450000,C70Na12-
C60Na10 radical anion,1.450000,C60Na10-
Pd5,1.450000,Pd5
cobalt oxide,1.450000,CoO
As3,1.450000,As3
"Benzene, pentafluoronitro-",1.453000,C6F5NO2
HCBr radical,1.454000,CHBr
(NH3)2..H anion,1.455000,H7N2-
(H2O)30 radical anion,1.456000,H60O30-
Selenium oxide,1.456000,OSe
Si6Na2 radical anion,1.460000,Na2Si6-
RhC anion,1.460000,CRh-
CO2..pyridine radical anion,1.460000,C6H5NO2-
V10O2 radical anion,1.460000,O2V10-
V11O radical,1.460000,OV11
V12O radical,1.460000,OV12
W2 radical,1.460000,W2
Ti8,1.460000,Ti8
Dialuminum,1.460000,Al2
Ag3Au radical,1.460000,Ag3Au
Ag2Au2 radical,1.460000,Ag2Au2
Au2Zn anion,1.460000,Au2Zn-
(o-terphenyl)27 radical anion,1.460000,C486H378-
(o-terphenyl)30 radical anion,1.460000,C540H420-
"Oxygen, atomic",1.461000,O
PhN radical,1.461000,C6H5N
fluoro-p-benzoquinone radical,1.461000,C6H3FO2
"Benzoic acid, 4-nitro-, methyl ester",1.461000,C8H7NO4
Cr2D radical anion,1.464000,Cr2D-
CoD2,1.465000,CoD2
Me2C=C(iPr)O anion,1.466000,C7H13O-
copper cyanide,1.466000,CCuN
pMe-anilide anion,1.467000,C7H8N-
(C6F6)3..C6F6 radical anion,1.470000,C24F24-
VC3 radical anion,1.470000,C3V-
(m-terphenyl)90 radical anion,1.470000,C1620H1260-
Pb4S4 anion,1.470000,Pb4S4-
Nb10Al radical,1.470000,AlNb10
Nb9Al radical,1.470000,AlNb9
nickel monoxide,1.470000,NiO
Fe3,1.470000,Fe3
"Benzene, 2-methyl-1,3-dinitro-",1.470000,C7H6N2O4
BrClCH anion,1.472000,CHBrCl-
CoO2 radical,1.472000,CoO2
Cr2H radical anion,1.474000,Cr2H-
CrC3 radical anion,1.474000,C3Cr-
"Ethane, hexachloro-",1.479000,C2Cl6
(m-terphenyl)100 radical anion,1.480000,C1800H1400-
(o-terphenyl)35 radical anion,1.480000,C630H490-
Fe2(coronene)2 radical anion,1.480000,C48H24Fe2-
(1-Me-anthracene)9 radical anion,1.480000,C135H108-
C6F6..Ag anion,1.480000,C6AgF6-
p-pyridinide anion,1.480000,C5H4N-
Cu(NH2)2,1.480000,CuH4N2
C60Na20 radical anion,1.480000,C60Na20-
C60Na26 radical anion,1.480000,C60Na26-
(7-aza-indole)7 radical anion,1.480000,C49H42N14-
W6 radical anion,1.480000,W6-
(H2O)7..O2CCO2 dianion,1.480000,C2H14O11-2
Y10O radical,1.480000,OY10
MeSOCH2 anion,1.480000,C2H5OS-
V10 anion,1.490000,V10-
V11 anion,1.490000,V11-
V12 anion,1.490000,V12-
V15 anion,1.490000,V15-
C60Na13 radical anion,1.490000,C60Na13-
coronene..V5 anion,1.490000,C24H12V5-
"H2O..1,4-O2C-C6H4-CO2 dianion",1.490000,C8H6O5-2
(p-terphenyl)50 radical anion,1.490000,C900H700-
(1-Me-anthracene)10 radical anion,1.490000,C150H120-
"2,5-diMe-cyclopentanone enolate",1.492000,C7H11O
TiC4 anion,1.494000,C4Ti-
iron oxide,1.495000,FeO
Tribromosilyl radical,1.500000,Br3Si
(EtNO2)2..EtNO2 anion,1.500000,C6H15N3O6-
V2C3 radical anion,1.500000,C3V2-
V2C11 radical anion,1.500000,C11V2-
(p-terphenyl)60 radical anion,1.500000,C1080H840-
(o-terphenyl)40 radical anion,1.500000,C720H560-
Fe(coronene)2 radical anion,1.500000,C48H24Fe-
Al13Cs2 anion,1.500000,Al13Cs2-
SmSi4 anion,1.500000,Si4Sm-
SmSi6 anion,1.500000,Si6Sm-
Rh2 anion,1.500000,Rh2-
Bi3C6H5 anion,1.500000,C6H5Bi3-
Bi3C4H3O anion,1.500000,C4H3Bi3O-
Pb4,1.500000,Pb4
K(KI)9 radical anion,1.500000,I9K10-
(MeO)3PO..UO2(CF3COCHCOCF3)2 radical anion,1.500000,C13H11F12O10PU-
C70Na11 radical anion,1.500000,C70Na11-
C60Na21 radical anion,1.500000,C60Na21-
(benzene)5..Co anion,1.500000,C30H30Co-
Ni4 radical anion,1.500000,Ni4-
cyclopentoxide anion,1.500000,C5H9O-
(CF3)2CHOH..uracil radical anion,1.500000,C7H6F6N2O3-
V13O radical,1.500000,OV13
V15O radical,1.500000,OV15
In3,1.500000,In3
C60H18 radical,1.500000,C60H18
Cr(O2) radical,1.500000,CrO2
Sulfur tetrafluoride,1.500000,F4S
(benzene)5Ti4,1.500000,C30H30Ti4
"3,3,4,4,5,5-hexafluorodihydro-2H-pyran-2,6(3H)-dione",1.500000,C5F6O3
"4-Nitro-α,α,α-trifluorotoluene",1.500000,C7H4F3NO2
"3,5-Dichloronitrobenzene",1.500000,C6H3Cl2NO2
chlorine fluoride,1.500000,ClF
CH2=C(NH2)O anion,1.501000,C2H4NO-
OCuO anion,1.503000,CuO2-
benzynide anion,1.506000,C6H3-
Si6Na3 radical anion,1.510000,Na3Si6-
C60Na22 radical anion,1.510000,C60Na22-
C60Na24 radical anion,1.510000,C60Na24-
Pb6F anion,1.510000,FPb6-
RhN anion,1.510000,NRh-
Fe6,1.510000,Fe6
Nickel tetraphenylporphyrin,1.510000,C44H28N4Ni
LaC7 radical,1.510000,C7La
Hydrocarboxyl radical,1.510000,CHO2
Hydroxycarbonyl-d1,1.510000,CDO2
tBuCH=NO anion,1.513000,C5H10NO-
Nb8 radical,1.513000,Nb8
HP2 anion,1.514000,HP2-
Al3S anion,1.520000,Al3S-
(C6F6)5..C6F6 radical anion,1.520000,C36F36-
C70Na7 radical anion,1.520000,C70Na7-
PtBr6 dianion,1.520000,Br6Pt-2
(p-terphenyl)70 radical anion,1.520000,C1260H980-
(1-Me-anthracene)11 radical anion,1.520000,C165H132-
Phosphorous bromide dichloride,1.522000,BrCl2P
Dichloromethyl radical,1.522000,CHCl2
"Methanone, bis(pentafluorophenyl)-",1.522000,C13F10O
cyclohexanone enolate anion,1.526000,C6H9O-
"1,3,5-triazinide anion",1.529000,C3H2N3-
(p-terphenyl)80 radical anion,1.530000,C1440H1120-
Mn4S4 radical anion,1.530000,Mn4S4-
(1-Me-anthracene)12 radical anion,1.530000,C180H144-
Al2Co6 anion,1.530000,Al2Co6-
coronene..Ti2 anion,1.530000,C24H12Ti2-
H2O..H anion,1.530000,H3O-
Nb11Al radical,1.530000,AlNb11
(Me2P)2CH anion,1.531000,C5H13P2-
(H2O)34 radical anion,1.531000,H68O34-
europium dichloride,1.534000,Cl2Eu
CD2CN anion,1.538000,C2D2N-
C70Na13 radical anion,1.540000,C70Na13-
C60Na25 radical anion,1.540000,C60Na25-
(p-terphenyl)90 radical anion,1.540000,C1620H1260-
(p-terphenyl)100 radical anion,1.540000,C1800H1400-
(o-terphenyl)50 radical anion,1.540000,C900H700-
H2O..UO2F4 dianion,1.540000,F4H2O3U-2
9-OMe-fluorenide anion,1.542000,C14H11O-
Titanium dicarbide,1.542000,C2Ti
C2Cl5 anion,1.544000,C2Cl5-
Ar..O radical anion,1.547000,ArO-
Au2Mg anion,1.550000,Au2Mg-
EuSi6 anion,1.550000,EuSi6-
(1-Me-anthracene)13 radical anion,1.550000,C195H156-
Na2Sn4 anion,1.550000,Na2Sn4-
Nb2O3,1.550000,Nb2O3
(KI)11 radical anion,1.550000,I11K11-
V14 anion,1.550000,V14-
CoC3 radical anion,1.550000,C3Co-
V15O2 radical anion,1.550000,O2V15-
(NaCl)2 radical anion,1.550000,Cl2Na2-
Ti9,1.550000,Ti9
Ru3Co,1.550000,CoRu3
O2C(CH2)6CO2 dianion,1.550000,C8H12O4-2
PhNMe anion,1.554000,C7H8N-
Hydroxymethyl-d3 radical,1.555000,CD3O
"Benzaldehyde, 2-nitro-",1.557000,C7H5NO3
"9,10-Anthracenedione, 2-(1,1-dimethylethyl)-",1.557000,C18H16O2
"9,10-Anthracenedione, 2-ethyl-",1.557000,C16H12O2
Ph3C anion,1.559000,C19H15-
(Me3Si)2CH anion,1.559000,C7H19Si2-
CrMoO7 dianion,1.560000,CrMoO7-2
V14O radical,1.560000,OV14
(o-terphenyl)60 radical anion,1.560000,C1080H840-
(o-terphenyl)70 radical anion,1.560000,C1260H980-
MnS3 radical anion,1.560000,MnS3-
(1-Me-anthracene)14 radical anion,1.560000,C210H168-
Bi3C5H4N anion,1.560000,C5H4Bi3N-
TiC3 anion,1.561000,C3Ti-
iridium,1.564000,Ir
mCl-phenide anion,1.565000,C6H4Cl-
"Acetophenone, 4'-nitro-",1.565000,C8H7NO3
"Benzonitrile, 3-nitro-",1.565000,C7H4N2O2
SnPb,1.569000,PbSn
MeO anion,1.569000,CH3O-
"Methanone, (4-nitrophenyl)phenyl-",1.570000,C13H9NO3
"Methane, trifluoroiodo-",1.570000,CF3I
C60Na23 radical anion,1.570000,C60Na23-
C60Na27 radical anion,1.570000,C60Na27-
Ni5 radical anion,1.570000,Ni5-
MeCH=CHO anion,1.570000,C3H5O-
(1-Me-anthracene)15 radical anion,1.570000,C225H180-
palladium monoxide,1.570000,OPd
Al3O radical,1.570000,Al3O
Re2,1.571000,Re2
Al13K radical anion,1.580000,Al13K-
(azulene)4 radical anion,1.580000,C40H32-
(H2O)37 radical anion,1.580000,H74O37-
RhO anion,1.580000,ORh-
(CO2)2..pyridine radical anion,1.580000,C7H5NO4-
Cr5 anion,1.580000,Cr5-
W5 radical anion,1.580000,W5-
Co4O radical anion,1.580000,Co4O-
PtCl6 dianion,1.580000,Cl6Pt-2
Ta3O radical,1.583000,OTa3
mMe-anilide anion,1.584000,C7H8N-
zirconium silicide,1.584000,SiZr
NdCl2..Cl anion,1.586000,Cl3Nd-
Magnesium chloride,1.589000,ClMg
TiO2,1.589000,O2Ti
C60Na14 radical anion,1.590000,C60Na14-
Cr8 anion,1.590000,Cr8-
Fe2(coronene) radical anion,1.590000,C24H12Fe2-
(1-Me-anthracene)16 radical anion,1.590000,C240H192-
CoNb6 anion,1.590000,CoNb6-
Phosphorus tribromide,1.591000,Br3P
"9,10-Anthracenedione",1.591000,C14H8O2
AgCl anion,1.593000,AgCl-
Dichloromethylene,1.593000,CCl2
Cyanomethyl radical,1.593000,C2H2N
3-Nitrobenzyl radical,1.594000,C7H6NO2
C3S anion,1.596000,C3S-
cyclopentanone enolate anion,1.598000,C5H7O-
KrO anion,1.600000,KrO-
V3C6 radical anion,1.600000,C6V3-
p-xylene..O2 radical anion,1.600000,C8H10O2-
(o-terphenyl)80 radical anion,1.600000,C1440H1120-
EuSi4 anion,1.600000,EuSi4-
(1-Me-anthracene)17 radical anion,1.600000,C255H204-
PbC6F5 anion,1.600000,C6F5Pb-
SmSi5 anion,1.600000,Si5Sm-
SmSi7 anion,1.600000,Si7Sm-
PrSi4 anion,1.600000,PrSi4-
CoNb7 anion,1.600000,CoNb7-
MoVO2 radical anion,1.600000,MoO2V-
Fe2BO2 anion,1.600000,BFe2O2-
Fe4BO2 anion,1.600000,BFe4O2-
